title,difficulty,university,price,rating,level,subject,is_paid,skills,source
Introduction to Project Management,,Coursera Project Network,,4.5,,,,Planning Leadership and Management project planning software time management project scope (project management) Project Management project management professional project plan business leadership-and-management,coursera
Increase SEO Traffic with WordPress,Beginner,Coursera Project Network,,4.4,,,,Digital Marketing mathematical optimization usability ordered pair web web analytics content management system Web Design wordpress search engine optimization computer-science mobile-and-web-development,coursera
The Worldview of Thomas Berry: The Flourishing of the Earth Community,Intermediate,Yale University,,4.8,,,,Influencing interview energy Solar Systems pragmatics astronomy natural selection religion verse protocol Culture arts-and-humanities history,coursera
Hacking Exercise For Health. The surprising new science of fitness.,Intermediate,McMaster University,,4.7,,,,protein vital signs Training lambda lifting mental health physical activity bodyweight exercise exercise endurance training endurance life-sciences basic-science,coursera
Building Stock Returns Heatmap with Tableau,Beginner,Coursera Project Network,,4.1,,,,options strategies project label analytics tableau software stock treemapping Data Analysis Finance trading business finance,coursera
Advertising and Society,Advanced,Duke University,,4.7,,,,Public Relations Advertising Strategy semiotics history history of advertising Advertising advertising techniques advertising management Marketing Strategy social-sciences economics,coursera
The Power of Microeconomics: Economic Principles in the Real World,Intermediate,"University of California, Irvine",,4.6,,,,stock market microeconomics Economics market (economics) Behavioral Economics perfect competition supply and demand supply chain demand Game Theory social-sciences economics,coursera
Drug Development,Beginner,University of California San Diego,,4.6,,,,drug development Clinical Drug Development drugs Drug Regulatory Affairs Phases Of Clinical Research Clinical Trial clinical trials Regulatory Affairs affair clinical research life-sciences research,coursera
Using clinical health data for better healthcare,Intermediate,The University of Sydney,,4.6,,,,data integrity health human resources Health Data Analysis Clinical Information Systems decision support system evidence-based practice digital health health data analytics health system life-sciences health-informatics,coursera
Fibonacci Numbers and the Golden Ratio,Intermediate,The Hong Kong University of Science and Technology,,4.8,,,,number theory mathematical induction puzzle elementary mathematics Square (Algebra) Mathematics dissection approximation Closed-Form Expression numbers (spreadsheet) math-and-logic math-and-logic,coursera
Control of Nonlinear Spacecraft Attitude Motion,Advanced,University of Colorado Boulder,,4.6,,,,Actuators relative change and difference satellite dynamical system .properties measurement optimal control torque Continuous Function physics physical-science-and-engineering physics-and-astronomy,coursera
Sensor Manufacturing and Process Control,Intermediate,University of Colorado Boulder,,4.5,,,,Mechatronics Accuracy And Precision manufacturing process management calibration electronics robotics Pressure Sensor linearization Electrical Engineering process control physical-science-and-engineering electrical-engineering,coursera
Strategy Implementation,Intermediate,Copenhagen Business School,,4.6,,,,organizational culture Collaboration facilitation technology strategy Leadership and Management Performance Management Strategy strategy implementation organizational structure strategic management business business-strategy,coursera
Introduction to Climate Change and Health,Intermediate,Yale University,,4.7,,,,waterborne diseases public health health equity infection disease health cholera climate change climate change scenario environmental health life-sciences public-health,coursera
Fundamentals of Scalable Data Science,Advanced,IBM,,4.1,,,,General Statistics Dimensionality Reduction Matplotlib lambda calculus Computer Programming Apache Spark Data Visualization Python Programming Apache SQL data-science data-analysis,coursera
Introduction to Indoor Air Quality,Beginner,The Hong Kong University of Science and Technology,,4.7,,,,mechanical ventilation quality control Air Emissions Mechanical Engineering Remediation Design chromatography indoor air quality Paint Sprayer pollution adobe air physical-science-and-engineering mechanical-engineering,coursera
Bayesian Statistics: Techniques and Models,Intermediate,"University of California, Santa Cruz",,4.7,,,,inference General Statistics monte carlo method markov chain modeling Bayesian chaining Bayesian Inference markov chain monte carlo Bayesian Statistics data-science probability-and-statistics,coursera
"Epidemics, Pandemics and Outbreaks",Beginner,University of Pittsburgh,,4.6,,,,disease pandemics outbreak epidemic pandemic infectious diseases public health law quarantine Epidemics social-sciences governance-and-society,coursera
Machine Learning for Accounting with Python,Advanced,University of Illinois at Urbana-Champaign,,4.5,,,,statistical classification Regression mathematical optimization Python Programming decision tree Document Classification n-gram Machine Learning Algorithms hyperparameter data-science machine-learning,coursera
Powerful Tools for Teaching and Learning: Digital Storytelling,Advanced,University of Houston,,4.6,,,,online learning storyboarding blogging Storytelling creative writing photography education instructional design Video Editing teaching social-sciences education,coursera
Presentation skills: Speechwriting and Storytelling,Advanced,National Research Tomsk State University,,4.6,,,,c file input/output presentation speech Storytelling Writing audience i-message Speech Writing reason public speaking personal-development personal-development,coursera
Analyze Box Office Data with Seaborn and Python,Beginner,Coursera Project Network,,4.5,,,,project analysis Machine Learning Data Analysis Python Programming General Statistics Data Visualization Exploratory Data Analysis Plotly Statistical Graphics data-science machine-learning,coursera
Genes and the Human Condition (From Behavior to Biotechnology),Beginner,"University of Maryland, College Park",,4.6,,,,history of biotechnology comparative genomics crispr gene editing genetic engineering genetics synthetic biology genomics epigenetics gene biotechnology life-sciences basic-science,coursera
Introduction to Clinical Data Science,Advanced,University of Colorado System,,4.6,,,,relational database bigquery Data Analysis R Programming SQL Clinical Data Analysis Computer Programming rstudio join (sql) analysis data-science data-analysis,coursera
Jazz Improvisation,Advanced,Berklee College of Music,,4.8,,,,performance lingoes Scaling piano harmony music guitar jazz improvisation chord jazz arts-and-humanities music-and-art,coursera
Ethical Leadership Through Giving Voice to Values,Intermediate,University of Virginia,,4.7,,,,leadership enabling thought education ethics experience choice Leadership Development value premium reason business leadership-and-management,coursera
Industrial Organization: Strategy and Competition in Business,Advanced,National Research University Higher School of Economics,,4.9,,,,market (economics) price discrimination market power market segmentation product differentiation self-selection bias Game Theory intellectual property pricing path dependence business business-strategy,coursera
Meaningful Marketing Insights,Beginner,Emory University,,4.1,,,,Central Tendency Basic Descriptive Statistics Microsoft Excel Pivot Table Regression evaluation Market Analysis analytics Marketing measurement business marketing,coursera
Understanding Obesity,Intermediate,The University of Edinburgh,,4.6,,,,physical therapy pediatrics food science eating nutrition nutritionist psychology geriatrics obesity diet and obesity life-sciences nutrition,coursera
Strategically Build and Engage Your Network on LinkedIn,Beginner,Coursera Project Network,,4.6,,,,Project Management project LinkedIn tracking saving personal branding brand personal advertisement Accounting business analytics business business-strategy,coursera
Sales Training: Sales Team Management,Advanced,HubSpot Academy,,4.7,,,,coaching Human Learning Training Materials hubspot onboarding materials management Sales sales process engineering Strategy Recruiting business leadership-and-management,coursera
Large Marine Ecosystems: Assessment and Management,Beginner,University of Cape Town,,4.8,,,,ecosystem health global ecosystems sustainability marine ecosystem resource biodiversity ecosystem large marine ecosystem Leadership and Management social-sciences governance-and-society,coursera
Genomic Data Science and Clustering (Bioinformatics V),Advanced,University of California San Diego,,4.1,,,,Algorithms Bioinformatics gene expression Expression Profiling perfect phylogeny data clustering algorithms gene genomics computational problem phylogenetic tree life-sciences health-informatics,coursera
America's Written Constitution,Intermediate,Yale University,,4.7,,,,political science english language i-deas Accounting law american law Writing voting re-define constitution social-sciences governance-and-society,coursera
An Introduction to Interactive Programming in Python (Part 1),Advanced,Rice University,,4.7,,,,Programming Principles principle semantics syntax python syntax and semantics language Computer Programming interactive computing interactivity Python Programming computer-science software-development,coursera
Build an App in Android Studio using onTouch,Beginner,Coursera Project Network,,4.5,,,,drop-down list ordered pair Data Analysis Booking quotation upload github Android Development android studio logic gate computer-science mobile-and-web-development,coursera
Accounting Data Analytics with Python,Advanced,University of Illinois at Urbana-Champaign,,3.6,,,,data type relational database management system Numpy Basic Descriptive Statistics Data Structures Python Programming Databases SQL euler's totient function jpeg data-science data-analysis,coursera
Creating an Interactive Story with Flutter,Beginner,Coursera Project Network,,3.9,,,,language Mobile Development Computer Programming dart (programming language) iOS Development android studio interactivity object-oriented programming interactive storytelling web computer-science mobile-and-web-development,coursera
Accounting: Principles of Financial Accounting,Beginner,IESE Business School,,4.8,,,,income statement analysis cash flow Finance flow network balance sheet Financial Accounting income Accounting financial statement business finance,coursera
Genomic Data Science with Galaxy,Beginner,Johns Hopkins University,,3.2,,,,rna-seq Data Analysis Biostatistics molecular biology Bioinformatics genetic engineering running genetics genomics analysis data-science data-analysis,coursera
Spatial Analysis and Satellite Imagery in a GIS,Advanced,University of Toronto,,4.9,,,,ArcGIS remote sensing software satellite General Statistics analysis Spatial Analysis multispectral image Geographic Information System measurement physical-science-and-engineering environmental-science-and-sustainability,coursera
Critical Issues in Urban Education,,The University of Chicago,,4.7,,,,performance education teacher quality assessment evaluation choice educational practices measurement resource process school choice social-sciences education,coursera
How to Make Image Editing Selections in GIMP,Beginner,Coursera Project Network,,4.9,,,,Trigonometric Integral image editing numbers (spreadsheet) Python Programming project Machine Learning poster display devices Video Editing c++ computer-science design-and-product,coursera
Getting Started with ASP.NET Core Razor Pages,Beginner,Coursera Project Network,,3.7,,,,recursively enumerable set web application asp.net web english language Web Development asp.net core project business object microsoft visual studio computer-science mobile-and-web-development,coursera
Querying Databases Using SQL SELECT statement,Advanced,Coursera Project Network,,4.6,,,,information retrieval select (sql) mysql ascendency Databases SQL modulo operation ternary conditional operator join (sql) null coalescing operator data-science data-analysis,coursera
"Medical Emergencies: Airway, Breathing, and Circulation",Intermediate,University of Colorado System,,4.7,,,,medication Leadership and Management asthma patient respiratory diseases medicine pharmacology anatomy emergency emergency medicine life-sciences patient-care,coursera
Mediation and Conflict Resolution,Advanced,ESSEC Business School,,4.7,,,,grasp meditation harassment Negotiation arbitration organizational conflict trapping process modeling conflict resolution business leadership-and-management,coursera
Named Entity Recognition using LSTMs with Keras,Beginner,Coursera Project Network,,4.3,,,,Natural Language Processing information extraction Keras front and back ends recurrent neural network Long Short-Term Memory machine translation named-entity recognition Network Model Machine Learning data-science machine-learning,coursera
"Introduction to Blockchain: Benefits, Values and Opportunities",Intermediate,Association of International Certified Professional Accountants,,4.7,,,,supply chain BlockChain prediction markets market (economics) openfabrics alliance Benefits zero-knowledge proof bitcoin demand chain digital identity information-technology security,coursera
Computer Simulations,Advanced,"University of California, Davis",,4.7,,,,modeling numerical analysis materials computational social science cost benefit analysis Behavioral Economics simulation utility agent-based model computer simulation data-science machine-learning,coursera
Communicating Data Science Results,Advanced,University of Washington,,3.6,,,,Communication recursively enumerable set General Statistics data type analysis case study encodings Kaggle Information Visualization Statistical Analysis data-science data-analysis,coursera
Introduction to Mechanical Engineering Design and Manufacturing with Fusion 360,Beginner,Autodesk,,4.8,,,,modeling computer-aided design Engineering Design 3d modeling Autodesk Manufacturing Processes process manufacturing process management Mechanical Design simulation physical-science-and-engineering mechanical-engineering,coursera
Light Emitting Diodes and Semiconductor Lasers,Advanced,University of Colorado Boulder,,3.6,,,,electronics energy fiber optics optics algorithm Electrical Engineering Deep Learning materials signal processing material (computer graphics) homework physical-science-and-engineering electrical-engineering,coursera
Business Model Canvas: A Tool for Entrepreneurs and Innovators (Project-Centered Course),Beginner,University System of Georgia,,4.5,,,,market segmentation business plan Customer Relationship Management Planning value proposition modeling Business Modeling business model canvas market (economics) Entrepreneurship business business-strategy,coursera
Intermediate Pandas Python Library for Data Science,Beginner,Coursera Project Network,,4.4,,,,Pandas Python Programming Missing Data Applied Machine Learning Machine Learning FinTech concatenation Data Science Numpy Deep Learning data-science data-analysis,coursera
Prepare for the EMT Certification Test,Intermediate,University of Colorado System,,4.3,,,,nursing education emergency medical services Patient Care Communication syndrome emergency management patient differential diagnosis nursing Healthcare Management life-sciences patient-care,coursera
Marketing Strategy Capstone Project,Intermediate,IE Business School,,4.6,,,,Marketing technology strategy project marketing plan marketing strategy Planning Strategy marketing mix Product Marketing Market Research business marketing,coursera
Internet of Things: Setting Up Your DragonBoard' Development Platform,Advanced,University of California San Diego,,4.1,,,,c dynamic memory allocation java annotation 2.5d web web server internet of things internet porting interfaces interactivity physical-science-and-engineering electrical-engineering,coursera
Music's Big Bang: The Genesis of Rock 'n' Roll,Intermediate,University of Florida,,4.7,,,,great man theory music jazz history of rock scholar guitar gauss markov theorem popular music sign rockbox arts-and-humanities music-and-art,coursera
Cloud Computing Fundamentals on Alibaba Cloud,Beginner,Alibaba Cloud Academy,,4.7,,,,backup Databases private network Cloud Platforms data security virtual private server image processing web hosting service Cloud Computing web server computer-science software-development,coursera
Finance for Everyone: Markets,,McMaster University,,4.7,,,,experience Finance stock Communication interest stock market presentation financial markets interest rate market (economics) business finance,coursera
RStudio for Six Sigma - Basic Descriptive Statistics,Beginner,Coursera Project Network,,,,,,General Statistics Average Pareto Chart project Box Plot sampling statistics rstudio Histogram Chart Trigonometric Integral business leadership-and-management,coursera
"Managing, Describing, and Analyzing Data",Intermediate,University of Colorado Boulder,,1.0,,,,logarithmic distribution Exponential Family Probability Distributions Frequency Distribution univariate distribution Stable Probability Distributions food science Poisson Distribution Percentile conditional probability distribution Probability Distribution data-science probability-and-statistics,coursera
Physics of silicon solar cells,Intermediate,'cole Polytechnique,,4.4,,,,lambda calculus Solar Energy packaging astronomy physics Nanotechnology java annotation .properties silicon materials physical-science-and-engineering physics-and-astronomy,coursera
Traditional herbal medicine in supportive cancer care: From alternative to integrative,Intermediate,Technion - Israel Institute of Technology,,4.5,,,,Chinese Medicine medicine traditional medicine herbal ayurveda homeopathy treatment of cancer Cancer oncology acupuncture life-sciences patient-care,coursera
Outbreaks and Epidemics,Intermediate,Johns Hopkins University,,4.8,,,,natural history public health epidemic risk factors disease relative change and difference outbreak Epidemiology Epidemics Risk Factor life-sciences public-health,coursera
Java Primitive Types to Calculate Expenses,Beginner,Coursera Project Network,,4.7,,,,Computer Programming data type primitive data type Payments ordered pair java (software platform) expense project c++ Arithmetic computer-science software-development,coursera
Machine Learning Feature Selection in Python,Beginner,Coursera Project Network,,3.6,,,,recursion mathematical optimization bootstrap aggregating Correlation And Dependence hyperparameter Hyperparameter Optimization Machine Learning Model Selection Feature Selection lasso (programming language) data-science machine-learning,coursera
IT Security: Defense against the digital dark arts,Beginner,Google,,4.7,,,,wireless wireless security authentication encryption information security Network Security Cryptography security System Security network monitoring information-technology security,coursera
Applications of Everyday Leadership,Beginner,University of Illinois at Urbana-Champaign,,4.8,,,,conflict resolution Negotiation arbitration Performance Management Change Management Leadership Development Leadership and Management Conflict Management leadership performance business leadership-and-management,coursera
Introduction to Data Analytics for Business,Advanced,University of Colorado Boulder,,4.6,,,,analysis analytics SQL Business Analysis relational database Data Analysis Data Model Databases business analytics modeling data-science data-analysis,coursera
Intellectual Humility: Practice,Beginner,The University of Edinburgh,,4.6,,,,intellectual educational psychology open-mindedness evaluation categorization fear everyday life bias religion belief arts-and-humanities philosophy,coursera
LGBTQ Pride: From Origins to Evolution Teach-Out,Beginner,University of Michigan,,4.8,,,,white pride Average pride stonewalling autoethnography history listening gay pride empathy psychology arts-and-humanities philosophy,coursera
Using Google Forms for Student Success,Beginner,Coursera Project Network,,4.8,,,,school counseling evaluation process exit (system call) project mine Student's t-Distribution teaching parenting Data Science parent social-sciences education,coursera
Educating Deaf Children: Becoming an Empowered Teacher,Intermediate,University of Cape Town,,4.9,,,,sign language parenting teaching method parent deaf education experience teaching education educational practices child social-sciences education,coursera
Metaliteracy: Empowering Yourself in a Connected World,Beginner,The State University of New York,,4.3,,,,social network Collaboration public domain composite artifact colors intellectual property experience intellectual Social Media Storytelling Social Networking personal-development personal-development,coursera
"Bats, Ducks, and Pandemics: An Introduction to One Health Policy",Beginner,Princeton University,,4.6,,,,antibiotic environmental health animal health microbiology infant mortality food security antibiotics antimicrobials contact tracing public health life-sciences public-health,coursera
Blockchain Basics,Beginner,The State University of New York,,4.5,,,,smart contract bitcoin network bitcoin Cryptography hashing cryptocurrency BlockChain ethereum proof-of-work system public-key cryptography computer-science software-development,coursera
Introduction and Programming with IoT Boards,Beginner,Pohang University of Science and Technology,,4.6,,,,component-based software engineering arduino internet Computer Programming personal area network node-red software wireless raspberry pi internet of things information-technology cloud-computing,coursera
Roman Art and Archaeology,Beginner,University of Arizona,,4.7,,,,greek mythology Archeology history scientific management dignity conquesting charisma art ordered pair Art History arts-and-humanities history,coursera
Commercialization of innovation activity results,Advanced,Saint Petersburg State University,,4.0,,,,master of science in project management intellectual property commercialization microsoft project capital market technical feasibility research and development intellectual capital management scientific management intellectual capital business business-strategy,coursera
Introduction to Structured Query Language (SQL),,University of Michigan,,4.7,,,,phpmyadmin Databases SQL relational database SQL Server mysql database model modeling Database Design Leadership and Management computer-science mobile-and-web-development,coursera
Converter Control,Intermediate,University of Colorado Boulder,,4.8,,,,euler's totient function analysis approximation Closed-Form Expression power electronics Switches Electrical Engineering employment system dynamics electronics physical-science-and-engineering electrical-engineering,coursera
"The Effect of Fires on People, Property and the Environment",Beginner,"University of Maryland, College Park",,4.7,,,,Chemical Engineering Wood Framing Professional Engineer safety beam robotics safety engineering fire protection fire safety fire protection engineering Fire Suppression physical-science-and-engineering environmental-science-and-sustainability,coursera
Character Setup and Animation,Advanced,Unity,,4.9,,,,computer animation Computer Programming desire project 3d modeling virtual camera system video game development modeling upload autodesk maya computer-science design-and-product,coursera
Procurement & Sourcing Introduction,Beginner,Rutgers the State University of New Jersey,,4.7,,,,sources Contract Management supply chain management purchasing management analytics Procurement Leadership and Management purchasing supply chain customer service business leadership-and-management,coursera
International Business Capstone,Advanced,University of London,,4.6,,,,cost Planning pricing break-even consumer behaviour organizational structure business plan market (economics) break-even (economics) market segmentation business business-essentials,coursera
BMC and Start-up Funding for Early-Stage Start-ups,Beginner,Coursera Project Network,,4.9,,,,Average project Chart analysis Planning Entrepreneurship elementary mathematics Financial Analysis Finance Project Management business entrepreneurship,coursera
Six Sigma Principles,Beginner,University System of Georgia,,4.6,,,,Leadership and Management Lean Methods lean six sigma Process Improvement kanban process six sigma Mapping principle Trigonometric Integral business business-essentials,coursera
Explore stock prices with Spark SQL,Beginner,Coursera Project Network,,4.4,,,,analysis SQL stock Statistical Analysis saving project mine project General Statistics interactivity Apache Spark data-science data-analysis,coursera
Design Thinking for the Greater Good: Innovation in the Social Sector,Beginner,University of Virginia,,4.6,,,,social entrepreneurship design thinking thought Innovation brainstorming innovation management Storytelling illustration autism agriculture social-sciences education,coursera
"Introduction to Self-Determination Theory: An approach to motivation, development and wellness",Intermediate,University of Rochester,,4.9,,,,mindfulness coaching psychotherapy mental health emotional well-being parenting motivation employee engagement weight loss self-determination theory life-sciences psychology,coursera
Career Success Project,Beginner,"University of California, Irvine",,4.3,,,,swot analysis project career Peer Review Accounting documents Business Writing evaluation Writing personal advertisement business business-essentials,coursera
Increase Student Buy in with Google Slides,Beginner,Coursera Project Network,,4.6,,,,process a t.i.m.e. project Accounting parenting Group Instruction project mine choice teaching utility social-sciences education,coursera
"Two Speed IT: How Companies Can Surf the Digital Wave, a BCG Perspective",Advanced,CentraleSup'lec,,4.4,,,,Customer Relationship Management balance sheet Human Resources it service management speeded up robust features ordered pair running Human Learning business partner workforce management business business-essentials,coursera
Confronting The Big Questions: Highlights of Modern Astronomy,Intermediate,University of Rochester,,4.5,,,,The Life of Stars Galaxies and Their Environments The History of The Universe. entry point hole Solar Systems drake equation Census physics theory of relativity death astronomy,coursera
Introduction to Unit Testing in Jest - The Fundamentals,Beginner,Coursera Project Network,,5.0,,,,application programming interfaces Writing user (computing) regular expression video game development Python Programming Software Testing logic gate data type unit testing computer-science software-development,coursera
Manipulating Data with SQL,Beginner,Coursera Project Network,,4.6,,,,system u table (database) relational database database management systems Databases Database Design SQL Rowing data retrieval unique key information-technology data-management,coursera
"Dense Gases, Liquids and Solids",Intermediate,University of Colorado Boulder,,4.3,,,,fluid mechanics chemistry statistical mechanics Mechanical Engineering Integral Studentized Residual Chemical Engineering physics molecular dynamics energy physical-science-and-engineering mechanical-engineering,coursera
Automating Team Communication with Google Sheets and Apps Script,Beginner,Coursera Project Network,,4.7,,,,google apps script project Planning email leadership euler's totient function Dynamic HTML Project Management authorization html business business-strategy,coursera
"Performing Network, Path, and Text Analyses in SAS Visual Analytics",Advanced,SAS,,4.8,,,,analysis path (variable) business analytics text mining Map analytics SPSS google analytics Data Analysis Network Analysis data-science data-analysis,coursera
Cybersecurity Compliance Framework & System Administration,Beginner,IBM,,4.6,,,,encryption digital signature security security compliance security management hashing iso/iec 27001:2013 Cryptography cyber security standards signature information-technology security,coursera
Business Analytics Executive Overview,Beginner,University of Illinois at Urbana-Champaign,,4.5,,,,Data Visualization quantum computing business analytics Recruitment analytics Closed-Form Expression Chart Business Intelligence euler's totient function Data Warehousing business leadership-and-management,coursera
Exploring Beethoven's Piano Sonatas Part 5,Advanced,Curtis Institute of Music,,4.9,,,,piano flourishing music chord signified and signifier Average dialogue home security anticipation must arts-and-humanities history,coursera
China's Economic Transformation Part 1: Economic Reform and Growth in China,Beginner,The Hong Kong University of Science and Technology,,4.9,,,,political science sources financial system foreign direct investment trading economy Finance Banking global Economics social-sciences economics,coursera
Relativism,Intermediate,"University of California, Irvine",,4.0,,,,Causality denial ethics sociology religion relative change and difference philosophy Anthropology skepticism climate change skepticism and denial arts-and-humanities philosophy,coursera
Cross-border road transport in EU law context,Advanced,Erasmus University Rotterdam,,4.7,,,,international law security fundraising Transporting law relative change and difference internality level playing field principle facilitation social-sciences law,coursera
Programming Mobile Applications for Android Handheld Systems: Part 1,Intermediate,"University of Maryland, College Park",,4.5,,,,user interface software Computer Programming lecture mobile app Android Development Mobile Development Software Engineering html android studio computer-science mobile-and-web-development,coursera
Understanding Prostate Cancer,Beginner,Johns Hopkins University,,4.8,,,,Cancer benign prostatic hyperplasia therapy erectile dysfunction biology prostate cancer screening prostate radiation therapy chemotherapy Cancer Biology life-sciences patient-care,coursera
Introduction to Financial Markets,Beginner,Indian School of Business,,4.6,,,,Finance financial markets trading investment bond market market (economics) stock Economics stock market foreign exchange market business finance,coursera
Introduction to Breast Cancer,Intermediate,Yale University,,4.9,,,,radiation therapy inflammatory breast cancer lymph Cancer genetics lymph node breast cancer breast Surgery Clinical Trial life-sciences basic-science,coursera
Foundations of International Psychiatry,Advanced,The University of Melbourne,,4.4,,,,mental state mental health psychiatric history psychiatry obsessive compulsive disorder biopsychosocial model mental health professional patient psychotherapy Mental Illness life-sciences basic-science,coursera
Linear Regression with NumPy and Python,Beginner,Coursera Project Network,,4.4,,,,Matplotlib Machine Learning linearity Gradient Computer Programming Numpy gradient descent linear regression Python Programming Regression data-science machine-learning,coursera
Applying Data Analytics in Marketing,Advanced,University of Illinois at Urbana-Champaign,,4.4,,,,Data Analysis analytics Advertising a/b testing conjoint analysis analysis relative change and difference Market Analysis Marketing marketing strategy business leadership-and-management,coursera
Just Reading and Writing English 2,Advanced,Tsinghua University,,4.9,,,,project Communication tutor english grammar Culture editing personal advertisement listening education english language language-learning learning-english,coursera
Gender and Sexuality: Diversity and Inclusion in the Workplace,Beginner,University of Pittsburgh,,4.7,,,,lgbtq psychology oppression human sexuality discrimination law sexual harassment lgbt sex lgbt sex education sexuality life-sciences psychology,coursera
Effective Communication in the Globalised Workplace - The Capstone,Advanced,National University of Singapore,,4.6,,,,project augmented assignment workplace communication tutor interpretation multimedia Strategy cross-cultural communication Communication Writing personal-development personal-development,coursera
Google Cloud Product Fundamentals,Beginner,Google Cloud,,4.7,,,,cost Culture Google Cloud Platform Cloud Platforms multicloud Application Development Collaboration Training total cost of ownership Cloud Computing business business-strategy,coursera
AWS Fundamentals: Building Serverless Applications,Beginner,Amazon Web Services,,4.7,,,,Amazon Web Services serverless computing amazon cloudfront Continuous Integration web service application programming interfaces Cloud Computing lexical analysis web amazon dynamodb information-technology cloud-computing,coursera
Engineering Health: Introduction to Yoga and Physiology,Beginner,New York University,,4.8,,,,meditation physiology mindfulness posture stress management musculoskeletal system exercise stress muscle contraction lymphatic system life-sciences basic-science,coursera
IBM Customer Engagement Specialist Professional Certificate,Advanced,IBM,,4.8,,,,customer service Customer Support active listening process Communication Leadership and Management process management customer engagement time management Problem Solving information-technology support-and-operations,coursera
Time Value of Money,Intermediate,University of Michigan,,4.8,,,,personal finance Finance future value perpetuity interest personal advertisement present value annuity trading loan business finance,coursera
Building Data Visualization Tools,Beginner,Johns Hopkins University,,3.8,,,,Scatter Plot graphical model R Programming Map Data Visualization interactivity ggplot2 Mapping Computer Graphics euler's totient function data-science data-analysis,coursera
"GIS Data Formats, Design and Quality",Advanced,"University of California, Davis",,4.8,,,,ArcGIS Geographic Information System analysis Spatial Analysis Spatial Data Analysis Data Analysis General Statistics Data Management Map Leadership and Management physical-science-and-engineering environmental-science-and-sustainability,coursera
Create Your First Automation Script Using Selenium and Java,Beginner,Coursera Project Network,,4.6,,,,java (software platform) project web radio button qa & ux manager selenium (software) test automation selenium Software Testing bash (unix shell) computer-science software-development,coursera
Verb Tenses and Passives,Intermediate,"University of California, Irvine",,4.8,,,,academic writing english language Writing perfect tenses punctuation translation editing language english grammar grammar language-learning learning-english,coursera
Git for Developers Using Github,Beginner,Coursera Project Network,,4.5,,,,project distributed version control fork (system call) software editing git (software) repurchase agreement Python Programming Computer Programming github computer-science software-development,coursera
Machine Learning: Regression,Beginner,University of Washington,,4.8,,,,Regression General Statistics lasso (statistics) Algorithms analysis Regression Analysis ridge regression linear regression linearity lasso (programming language) data-science machine-learning,coursera
Capstone: Analyzing (Social) Network Data,Intermediate,University of California San Diego,,4.6,,,,graph theory objects Graph Theory Java Programming externality performance software analysis Performance Analysis Data Structures graphs data-science data-analysis,coursera
Schizophrenia,Beginner,Wesleyan University,,4.7,,,,symptoms history psychology therapy psychologies social cognition psychotherapy schizophrenia neuroscience psychiatry life-sciences psychology,coursera
Relationship Management,Beginner,Rice University,,4.7,,,,active listening Emotional Intelligence interpersonal conflict counseling Leadership and Management Strategy Communication leadership Customer Relationship Management coaching business leadership-and-management,coursera
Business Russian Communication. Part 2,Advanced,Saint Petersburg State University,,,,,,Communication ordered pair listening Planning c dynamic memory allocation entry point email stress Russian Writing language-learning other-languages,coursera
Digital Footprint,,The University of Edinburgh,,4.6,,,,footprint privacy Average choice death digital footprint Social Media digital forensics forensic psychology forensic science personal-development personal-development,coursera
"Support Vector Machines in Python, From Start to Finish",Beginner,Coursera Project Network,,4.6,,,,human error assessment and reduction technique Tensorflow Machine Learning Test Set Support Vector Machine mathematical optimization Categorical Data statistical classification Scikit-Learn Python Programming data-science data-analysis,coursera
Predicting House Prices with Regression using TensorFlow,Beginner,Coursera Project Network,,4.5,,,,R Programming Regression Analysis Regression Deep Learning Python Programming Machine Learning Artificial Neural Networks Keras Tensorflow analysis data-science machine-learning,coursera
Guitar Scales and Chord Progressions,Advanced,Berklee College of Music,,4.7,,,,Writing chord guitar catia Creativity piano jazz Scaling gauss markov theorem music arts-and-humanities music-and-art,coursera
"Fundamentals of Sales and Marketing, with Goldman Sachs 10,000 Women",Beginner,Goldman Sachs,,4.5,,,,Marketing Digital Marketing sales effectiveness brand marketing Sales market segmentation Sales Cycle marketing strategy Sales Strategy Strategy business entrepreneurship,coursera
How to Design a Space-Saving Table Using SketchUp,Beginner,Coursera Project Network,,4.1,,,,Product Design rendering (computer graphics) i-deas Systems Design design thinking Graphic Design architectural design project Computer Graphics sketchup computer-science design-and-product,coursera
Soul Beliefs: Causes and Consequences - Unit 1: Historical Foundations,Beginner,Rutgers the State University of New Jersey,,4.5,,,,euler's totient function leap of faith astrology i-deas religion psyche spirituality darwin's dangerous idea knowledge of human nature faith social-sciences governance-and-society,coursera
Just Reading and Writing English 1,Intermediate,Tsinghua University,,4.2,,,,emotion Human Learning comfort english grammar mental health exercise dream tutor english language stress language-learning learning-english,coursera
Python and Statistics for Financial Analysis,Advanced,The Hong Kong University of Science and Technology,,4.4,,,,Data Analysis Python Programming financial modeling analysis Finance trading General Statistics Computer Programming Statistical Analysis Financial Analysis business finance,coursera
Build Your Portfolio Website with HTML and CSS,Beginner,Coursera Project Network,,4.5,,,,Web Development CSS github project HTML and CSS Web Design html HTML5 web page web computer-science mobile-and-web-development,coursera
GIS Data Acquisition and Map Design,Advanced,University of Toronto,,4.9,,,,Map Data Acquisition Geographic Information System Choropleth Map ArcGIS data dictionary Mapping Mergers & Acquisitions Spatial Databases metadata physical-science-and-engineering environmental-science-and-sustainability,coursera
